T550,x,y,lon,lat
1.0126,679,2612,-60.56157284709673,-3.289956991693657
1.0144,679,2613,-60.558911847103445,-3.2905619916921296
1.0162,679,2614,-60.55624884711017,-3.2911679916905996
1.018,679,2615,-60.55355384711697,-3.291780991689052
1.0199,679,2616,-60.55088484712371,-3.2923879916875194
1.0217,679,2617,-60.54821684713045,-3.292994991685987
1.0277,679,2618,-60.54560084713705,-3.2935899916844846
1.0277,679,2619,-60.54560084713705,-3.2935899916844846
1.0336,679,2620,-60.54295484714373,-3.2941909916829673
1.0396,679,2621,-60.54030884715041,-3.2947929916814473
1.0515,679,2623,-60.53496984716389,-3.2960069916783823
1.0575,679,2624,-60.532295847170644,-3.2966149916768472
1.0634999,679,2625,-60.52962384717739,-3.297222991675312
1.0694,679,2626,-60.52695784718412,-3.2978299916737797
1.0754,679,2627,-60.52429284719085,-3.2984359916722497
1.0754,679,2628,-60.52429284719085,-3.2984359916722497
1.0813999,679,2629,-60.521628847197576,-3.299040991670722
1.0874,679,2630,-60.51896984720429,-3.2996459916691947
1.0933,679,2631,-60.516312847211,-3.3002499916676697
1.0993,679,2632,-60.5136578472177,-3.300853991666145
1.1053,679,2633,-60.5110038472244,-3.3014569916646224
1.1112,679,2634,-60.508348847231105,-3.3020609916630974
1.1156,679,2635,-60.50569284723781,-3.3026649916615725
1.1329,679,2640,-60.495060847264654,-3.3050829916554676
0.9903,680,2596,-60.59959484700073,-3.284037991708601
0.9916,680,2597,-60.5969128470075,-3.284647991707061
0.99289995,680,2598,-60.594214847014314,-3.285261991705511
0.9942,680,2599,-60.59153884702107,-3.2858709917039732
0.99549997,680,2600,-60.58886084702783,-3.2864799917024357
0.99729997,680,2601,-60.586161847034646,-3.2870939917008855
0.99729997,680,2602,-60.586161847034646,-3.2870939917008855
0.99909997,680,2603,-60.58353484704128,-3.287690991699378
1.0009,680,2604,-60.58087984704798,-3.288294991697853
1.0045,680,2606,-60.575535847061474,-3.289510991694783
1.0063,680,2607,-60.57285684706824,-3.2901199916932455
1.0081,680,2608,-60.57017184707502,-3.290730991691703
1.0099,680,2609,-60.56750084708176,-3.291338991690168
1.0099,680,2610,-60.56750084708176,-3.291338991690168
1.0116999,680,2611,-60.5648308470885,-3.2919459916886353
1.0135,680,2612,-60.56217284709521,-3.292550991687108
1.0152999,680,2613,-60.55950684710194,-3.293156991685578
1.0171,680,2614,-60.55683984710868,-3.2937639916840453
1.0188999,680,2615,-60.554170847115415,-3.294370991682513
1.0207,680,2616,-60.55147284712223,-3.294983991680965
1.0224999,680,2617,-60.54880684712896,-3.2955909916794326
1.0281,680,2618,-60.546189847135565,-3.2961859916779304
1.0281,680,2619,-60.546189847135565,-3.2961859916779304
1.0336,680,2620,-60.543520847142304,-3.296792991676398
1.0392,680,2621,-60.54087184714899,-3.297394991674878
1.0504,680,2623,-60.53555384716242,-3.298604991671823
1.0559,680,2624,-60.53288384716916,-3.2992119916702904
1.0615,680,2625,-60.530215847175896,-3.299818991668758
1.0670999,680,2626,-60.527550847182624,-3.300424991667228
1.0726,680,2627,-60.52488684718935,-3.3010299916657004
1.0726,680,2628,-60.52488684718935,-3.3010299916657004
1.0782,680,2629,-60.52222584719607,-3.3016359916641704
1.0838,680,2630,-60.51956684720278,-3.3022399916626455
1.1061,680,2634,-60.50892384722965,-3.304660991656533
1.1101,680,2635,-60.506268847236356,-3.3052639916550106
0.9878,681,2592,-60.608231846978924,-3.2848029917066697
0.9878,681,2593,-60.608231846978924,-3.2848029917066697
0.9891,681,2594,-60.60553884698572,-3.2854149917051245
0.99039996,681,2595,-60.602872846992454,-3.286021991703592
0.9916,681,2596,-60.60018984699923,-3.286631991702052
0.99289995,681,2597,-60.597507847006,-3.287241991700512
0.9941,681,2598,-60.59483884701274,-3.2878499916989767
0.99539995,681,2599,-60.5921608470195,-3.288458991697439
0.9967,681,2600,-60.58948284702626,-3.2890679916959016
0.9984,681,2601,-60.586779847033085,-3.289682991694349
0.9984,681,2602,-60.586779847033085,-3.289682991694349
1.0002,681,2603,-60.58412384703979,-3.290286991692824
1.002,681,2604,-60.581468847046494,-3.290890991691299
1.0073,681,2607,-60.57345684706672,-3.2927139916866963
1.0091,681,2608,-60.5707728470735,-3.293323991685156
1.0109,681,2609,-60.56810284708024,-3.293931991683621
1.0109,681,2610,-60.56810284708024,-3.293931991683621
1.0127,681,2611,-60.56543284708698,-3.2945389916820886
1.0144,681,2612,-60.56276484709372,-3.295145991680556
1.0162,681,2613,-60.56010484710043,-3.2957509916790286
1.018,681,2614,-60.55740384710725,-3.2963649916774784
1.0198,681,2615,-60.554733847113994,-3.2969729916759434
1.0215,681,2616,-60.5521168471206,-3.297567991674441
1.0232999,681,2617,-60.54945084712733,-3.298173991672911
1.0285,681,2618,-60.54678584713406,-3.298779991671381
1.0285,681,2619,-60.54678584713406,-3.298779991671381
1.0337,681,2620,-60.54410884714082,-3.2993889916698436
1.0388,681,2621,-60.54145584714752,-3.2999929916683186
1.044,681,2622,-60.53879984715422,-3.3005969916667937
1.0491999,681,2623,-60.53613684716095,-3.301201991665266
1.0543,681,2624,-60.53346984716768,-3.3018089916637337
1.0595,681,2625,-60.53080484717441,-3.3024149916622036
1.0647,681,2626,-60.52814284718113,-3.303019991660676
1.0698999,681,2627,-60.52548084718785,-3.303625991659146
1.0698999,681,2628,-60.52548084718785,-3.303625991659146
1.0749999,681,2629,-60.522801847194614,-3.3042349916576086
0.98179996,682,2586,-60.62488984693687,-3.283744991709341
0.9831,682,2587,-60.62221884694361,-3.284352991707806
0.98429996,682,2588,-60.61954684695036,-3.2849609917062708
0.9855,682,2589,-60.61687184695711,-3.2855689917047357
0.98679996,682,2590,-60.614200846963854,-3.2861769917032007
0.99039996,682,2594,-60.606136846984214,-3.2880119916985677
0.9917,682,2595,-60.60345984699097,-3.28862099169703
0.99289995,682,2596,-60.600777846997744,-3.28923099169549
0.9941,682,2597,-60.598095847004515,-3.28984099169395
0.99539995,682,2598,-60.59543584701123,-3.2904459916924225
0.9966,682,2599,-60.592756847017995,-3.2910559916908824
0.9978,682,2600,-60.59007784702476,-3.291664991689345
0.9996,682,2601,-60.5873688470316,-3.292281991687787
0.9996,682,2602,-60.5873688470316,-3.292281991687787
1.0013,682,2603,-60.584712847038304,-3.292885991686262
1.0030999,682,2604,-60.58205784704501,-3.293489991684737
1.0119,682,2609,-60.5687128470787,-3.2965249916770745
1.0119,682,2610,-60.5687128470787,-3.2965249916770745
1.0136,682,2611,-60.566041847085444,-3.2971329916755394
1.0153999,682,2612,-60.563371847092185,-3.297739991674007
1.0171,682,2613,-60.560670847099004,-3.298354991672454
1.0188999,682,2614,-60.558000847105745,-3.2989619916709216
1.0206,682,2615,-60.555331847112484,-3.299568991669389
1.0224,682,2616,-60.55271484711909,-3.300163991667887
1.0241,682,2617,-60.55004884712582,-3.3007709916663543
1.0289,682,2618,-60.547381847132556,-3.3013769916648243
1.0289,682,2619,-60.547381847132556,-3.3013769916648243
1.0337,682,2620,-60.54469984713933,-3.3019869916632842
1.0385,682,2621,-60.54204084714604,-3.3025919916617568
1.0432,682,2622,-60.539380847152756,-3.3031969916602293
1.048,682,2623,-60.53671684715948,-3.3038029916586993
1.0527999,682,2624,-60.5340568471662,-3.304407991657172
1.0575,682,2625,-60.53139984717291,-3.305011991655647
0.98099995,683,2583,-60.63081084692192,-3.285127991705849
0.98099995,683,2584,-60.63081084692192,-3.285127991705849
0.98219997,683,2585,-60.628134846928674,-3.2857369917043115
0.9834,683,2586,-60.62546384693542,-3.286343991702779
0.98459995,683,2587,-60.62279284694216,-3.286951991701244
0.98579997,683,2588,-60.620133846948875,-3.2875569916997165
0.987,683,2589,-60.617463846955616,-3.2881649916981814
0.98819995,683,2590,-60.61479384696236,-3.288771991696649
0.98939997,683,2591,-60.61210984696913,-3.2893829916951063
0.9906,683,2592,-60.609419846975925,-3.289994991693561
0.9906,683,2593,-60.609419846975925,-3.289994991693561
0.993,683,2595,-60.60405884698946,-3.291214991690481
0.9942,683,2596,-60.601375846996234,-3.291824991688941
0.99539995,683,2597,-60.598693847003005,-3.2924349916874007
0.9966,683,2598,-60.59601184700978,-3.2930449916858606
0.9978,683,2599,-60.59335284701649,-3.293649991684333
0.99899995,683,2600,-60.59067284702326,-3.294259991682793
1.0007,683,2601,-60.58799284703002,-3.294869991681253
1.0007,683,2602,-60.58799284703002,-3.294869991681253
1.0023999,683,2603,-60.58530184703682,-3.295481991679708
1.0042,683,2604,-60.582644847043525,-3.296085991678183
1.0145999,683,2611,-60.56663784708394,-3.29972699166899
1.0163,683,2612,-60.56396684709068,-3.300334991667455
1.018,683,2613,-60.5612668470975,-3.300948991665905
1.0198,683,2614,-60.55859784710424,-3.3015559916643724
1.0215,683,2615,-60.555929847110974,-3.30216299166284
1.0231999,683,2616,-60.553311847117584,-3.3027579916613377
1.025,683,2617,-60.550645847124315,-3.303364991659805
1.0293,683,2618,-60.54797884713105,-3.303970991658275
1.0293,683,2619,-60.54797884713105,-3.303970991658275
1.0337,683,2620,-60.545274847137875,-3.3045859916567224
1.0381,683,2621,-60.54261584714459,-3.305190991655195
1.0424,683,2622,-60.5399578471513,-3.3057959916536674
1.0468,683,2623,-60.53731884715796,-3.3063959916521526
1.0512,683,2624,-60.53466184716467,-3.3069999916506276
0.97489995,684,2575,-60.65020884687294,-3.2834429917101033
0.97489995,684,2576,-60.65020884687294,-3.2834429917101033
0.97599995,684,2577,-60.64751384687975,-3.2840559917085557
0.9772,684,2578,-60.644820846886546,-3.284668991707008
0.9783,684,2579,-60.642131846893335,-3.285280991705463
0.9794,684,2580,-60.63943984690013,-3.285893991703915
0.9827,684,2583,-60.631389846920456,-3.28772599169929
