number_date,cams_val,pytime
1047805.6733333333,0.07138384059406144,2019-07-14 13:40:24
1047829.8966666666,0.08617246944171919,2019-07-15 13:53:48
1047853.4602777777,0.06884687915994436,2019-07-16 13:27:37
1047901.6111111111,0.0558526864486133,2019-07-18 13:36:40
1047925.8344444444,0.06989878999848087,2019-07-19 13:50:04
1047973.9852777778,0.09811475131451397,2019-07-21 13:59:07
1047997.5488888889,0.049479344309246054,2019-07-22 13:32:56
1048021.7719444444,0.06247353702057734,2019-07-23 13:46:19
1048069.9227777778,0.09180328628329604,2019-07-25 13:55:22
1048093.4866666667,0.04384852746766943,2019-07-26 13:29:12
1048189.4241666667,0.06853749361919848,2019-07-30 13:25:27
1048213.6469444444,0.164508888358601,2019-07-31 13:38:49
1048261.7983333333,0.10238427177680842,2019-08-02 13:47:54
1048286.0208333334,0.2058427966022638,2019-08-03 14:01:15
1048357.7358333333,0.2463723024399871,2019-08-06 13:44:09
1048381.9583333334,0.24247404462658761,2019-08-07 13:57:30
1048405.5219444444,0.09198891760774375,2019-08-08 13:31:19
1048453.6736111111,0.21005043995640915,2019-08-10 13:40:25
1048477.8958333334,0.24037022294951504,2019-08-11 13:53:45
1048501.4594444444,0.1960662135146909,2019-08-12 13:27:34
1048645.548888889,0.16135315584299215,2019-08-18 13:32:56
1048669.7708333333,0.22929422059080906,2019-08-19 13:46:15
1048717.9227777778,0.26926683245518945,2019-08-21 13:55:22
1048741.486388889,0.17583239914990378,2019-08-22 13:29:11
1048765.7083333333,0.17261478952614562,2019-08-23 13:42:30
1048813.8602777778,0.28114723721983514,2019-08-25 13:51:37
1048837.423888889,0.24228841330214013,2019-08-26 13:25:26
1048861.6458333333,0.12874391984836597,2019-08-27 13:38:45
1048909.7977777778,0.2723606878626492,2019-08-29 13:47:52
1048957.5836111112,0.18121570755888383,2019-08-31 13:35:01
1049005.7355555557,0.16048687632890335,2019-09-02 13:44:08
1049029.9577777777,0.1351791390958823,2019-09-03 13:57:28
1049101.6733333333,0.0851205586031829,2019-09-06 13:40:24
1049125.8955555556,0.1359835415018218,2019-09-07 13:53:44
1049149.4591666667,0.11574972713703491,2019-09-08 13:27:33
1049197.6108333333,0.1359835415018218,2019-09-10 13:36:39
1049221.8333333333,0.1772555726373355,2019-09-11 13:50:00
1049293.548611111,0.15714551248884678,2019-09-14 13:32:55
1049365.9225,0.1858564906700737,2019-09-17 13:55:21
1049389.486111111,0.1744711027706216,2019-09-18 13:29:10
1049413.7088888888,0.22972736034785335,2019-09-19 13:42:32
1049461.86,0.0868531176313605,2019-09-21 13:51:36
1049557.7977777778,0.2035533436007435,2019-09-25 13:47:52
1049605.5844444444,0.16221943535708072,2019-09-27 13:35:04
1049653.7352777778,0.1443369511019632,2019-09-29 13:44:07
1049773.8963888888,0.19185857016054553,2019-10-04 13:53:47
1049845.6102777778,0.20726597008969527,2019-10-07 13:36:37
1049869.8341666667,0.14087183304560824,2019-10-08 13:50:03
