,str_date,dt.time,Oa08_mean,kde_flag,Oa08_kde_min,Oa08_kde_max
133,20170104T135641,2017-01-04 13:56:41,,False,False,False
134,20170105T133029,2017-01-05 13:30:29,,False,False,False
135,20170108T135249,2017-01-08 13:52:49,,False,False,False
136,20170109T132636,2017-01-09 13:26:36,,False,False,False
137,20170112T134854,2017-01-12 13:48:54,,False,False,False
138,20170113T132240,2017-01-13 13:22:40,,False,False,False
139,20170115T141111,2017-01-15 14:11:11,,False,False,False
140,20170116T134457,2017-01-16 13:44:57,0.17424696125,True,0.17424696125,0.18863492
141,20170119T140712,2017-01-19 14:07:12,,False,False,False
142,20170120T134257,2017-01-20 13:42:57,,False,False,False
143,20170123T140311,2017-01-23 14:03:11,,False,False,False
144,20170123T140511,2017-01-23 14:05:11,,False,False,False
145,20170124T133855,2017-01-24 13:38:55,0.17260104,True,0.17019562,0.17260104
146,20170127T140107,2017-01-27 14:01:07,,False,False,False
147,20170128T133451,2017-01-28 13:34:51,,False,False,False
148,20170131T135701,2017-01-31 13:57:01,,False,False,False
149,20170201T133044,2017-02-01 13:30:44,,False,False,False
150,20170204T135253,2017-02-04 13:52:53,,False,False,False
151,20170205T132636,2017-02-05 13:26:36,,False,False,False
152,20170208T134843,2017-02-08 13:48:43,,False,False,False
153,20170209T132426,2017-02-09 13:24:26,,False,False,False
154,20170211T141050,2017-02-11 14:10:50,,False,False,False
155,20170212T134632,2017-02-12 13:46:32,,False,False,False
156,20170215T140837,2017-02-15 14:08:37,,False,False,False
157,20170216T134219,2017-02-16 13:42:19,,False,False,False
158,20170219T140424,2017-02-19 14:04:24,,False,False,False
159,20170220T133805,2017-02-20 13:38:05,0.1303984713888889,True,0.1303984713888889,0.1303984713888889
160,20170223T140009,2017-02-23 14:00:09,,False,False,False
161,20170224T133351,2017-02-24 13:33:51,,False,False,False
162,20170227T135554,2017-02-27 13:55:54,,False,False,False
163,20170228T133135,2017-02-28 13:31:35,,False,False,False
164,20170303T135339,2017-03-03 13:53:39,0.11574239831092437,True,0.11574239831092437,0.12764062
165,20170304T132720,2017-03-04 13:27:20,,False,False,False
166,20170307T134923,2017-03-07 13:49:23,0.16885892,False,False,False
167,20170308T132304,2017-03-08 13:23:04,,False,False,False
168,20170310T141125,2017-03-10 14:11:25,,False,False,False
